Tract,Population,Households,PM25,Ozone,Diesel_PM,NO2,Toxic_Air_Releases,Superfund_Prox,RMP_Prox,HazWaste_Prox,Percent_HHLeadPaint,Traffic_Prox,DW_Noncomp,WW_Discharge,Socioecon_Percentile,HHVuln_Percentile,Minority_Percentile,HouseType_Percentile,cluster,Is_DAC
36047035400,5507.0,2814.0,35.0,66.0,96.0,69.0,43.0,57.0,0.0,85.0,43.0,75.0,93.0,0.0,45.42,93.4,7.16,66.67999999999999,1,0
36047035500,5762.0,2103.0,42.0,70.0,98.0,97.0,42.0,91.0,0.0,93.0,99.0,89.0,93.0,78.0,95.83,87.82,85.55,99.55,0,1
36047035601,2725.0,1458.0,35.0,66.0,98.0,74.0,42.0,59.0,0.0,84.0,43.0,79.0,93.0,0.0,45.88,89.62,3.75,74.62,1,0
36047035602,6276.0,2959.0,35.0,67.0,94.0,72.0,42.0,58.0,0.0,83.0,52.0,74.0,93.0,0.0,43.71,87.7,27.44,89.22,1,0
36047035701,2550.0,1014.0,42.0,71.0,98.0,97.0,42.0,92.0,0.0,93.0,95.0,90.0,93.0,78.0,96.94,79.52,96.98,76.72,0,1
36047035900,6127.0,2364.0,41.0,71.0,98.0,97.0,42.0,92.0,0.0,93.0,85.0,90.0,93.0,77.0,81.78999999999999,13.51,92.31,95.47,0,1
36047036001,3108.0,1728.0,34.0,67.0,94.0,76.0,42.0,0.0,0.0,79.0,91.0,71.0,93.0,0.0,87.31,91.74,23.73,78.72,1,0
36047036002,4321.0,2189.0,34.0,66.0,94.0,78.0,43.0,0.0,0.0,77.0,99.0,71.0,93.0,0.0,72.98,80.46,22.24,89.74,1,1
36047036100,3025.0,1239.0,41.0,71.0,98.0,97.0,41.0,92.0,0.0,93.0,83.0,91.0,93.0,77.0,95.33,97.09,93.92,95.93,0,1
36047036200,3860.0,1447.0,34.0,66.0,95.0,76.0,43.0,0.0,0.0,79.0,82.0,74.0,93.0,0.0,83.77,58.66,68.37,94.3,1,1
36047036300,5616.0,2167.0,40.0,71.0,98.0,96.0,41.0,92.0,0.0,93.0,77.0,90.0,93.0,77.0,91.85,91.26,97.86,91.05,0,1
36047036400,2216.0,930.0,34.0,67.0,97.0,77.0,43.0,55.0,0.0,80.0,80.0,78.0,93.0,0.0,85.84,82.87,56.45,94.22,1,1
36047036501,3528.0,1318.0,40.0,71.0,98.0,96.0,41.0,93.0,0.0,93.0,59.0,92.0,93.0,77.0,54.39000000000001,87.01,99.24,74.27,0,1
36047036502,1924.0,534.0,39.0,71.0,98.0,96.0,41.0,93.0,0.0,92.0,70.0,92.0,93.0,76.0,72.32,81.44,98.64,90.74,0,1
36047036600,4146.0,1243.0,35.0,67.0,98.0,80.0,43.0,59.0,0.0,81.0,83.0,84.0,93.0,0.0,87.25,78.92,70.7,98.0,1,1
36047036700,1943.0,700.0,39.0,72.0,98.0,98.0,41.0,93.0,0.0,93.0,99.0,92.0,93.0,76.0,92.7,48.870000000000005,93.85,83.49,0,1
36047036900,5666.0,2485.0,40.0,71.0,98.0,97.0,41.0,94.0,0.0,93.0,89.0,92.0,93.0,77.0,89.72,24.55,90.66,87.32,0,1
36047037000,4184.0,1402.0,35.0,67.0,98.0,84.0,43.0,61.0,0.0,83.0,95.0,82.0,93.0,0.0,64.61,50.32,58.63,93.35,1,0
36047037100,4935.0,1660.0,40.0,71.0,98.0,97.0,41.0,94.0,0.0,94.0,82.0,91.0,93.0,78.0,60.17,22.040000000000003,89.03999999999999,81.2,0,1
36047037300,5391.0,1907.0,41.0,72.0,98.0,96.0,41.0,95.0,0.0,94.0,84.0,91.0,93.0,78.0,77.84,55.37,86.42,96.2,0,1
36047037401,4602.0,1812.0,35.0,67.0,98.0,83.0,43.0,61.0,0.0,87.0,91.0,81.0,93.0,0.0,72.18,99.09,44.89,75.11,1,1
36047037402,5089.0,2112.0,36.0,66.0,98.0,81.0,43.0,61.0,0.0,90.0,87.0,80.0,93.0,0.0,65.86999999999999,91.69,60.35,76.14,1,1
36047037500,3711.0,1520.0,42.0,71.0,98.0,96.0,42.0,95.0,0.0,95.0,88.0,91.0,93.0,90.0,80.4,40.89,86.67,84.41,0,1
36047037700,5042.0,1882.0,41.0,71.0,98.0,96.0,42.0,94.0,0.0,94.0,97.0,90.0,93.0,78.0,41.760000000000005,63.66,83.28,86.06,0,1
36047037900,4819.0,1610.0,41.0,71.0,98.0,97.0,41.0,94.0,0.0,94.0,86.0,90.0,93.0,78.0,84.68,77.79,94.23,81.16,0,1
36047038100,5497.0,2475.0,42.0,71.0,98.0,97.0,42.0,93.0,0.0,94.0,95.0,90.0,93.0,79.0,71.48,58.79,85.04,89.55,0,1
36047038200,5599.0,1909.0,37.0,66.0,98.0,89.0,43.0,62.0,0.0,88.0,97.0,76.0,93.0,0.0,95.56,99.81,93.6,97.38,1,1
36047038300,5250.0,2162.0,42.0,71.0,98.0,96.0,42.0,94.0,0.0,95.0,99.0,90.0,93.0,79.0,54.83,10.79,85.7,76.14999999999999,3,1
36047038500,4701.0,1499.0,42.0,71.0,98.0,96.0,42.0,94.0,0.0,95.0,95.0,91.0,93.0,79.0,56.65,11.05,86.3,86.65,3,1
36047038600,3123.0,1040.0,36.0,67.0,98.0,89.0,43.0,62.0,0.0,93.0,90.0,76.0,93.0,0.0,84.0,39.74,73.9,81.23,1,1
36047038700,4632.0,1929.0,43.0,71.0,98.0,97.0,43.0,95.0,0.0,95.0,89.0,92.0,93.0,93.0,82.45,9.03,86.3,91.36,0,1
36047038800,3996.0,1614.0,36.0,67.0,98.0,88.0,43.0,62.0,0.0,88.0,88.0,76.0,93.0,0.0,64.75,40.78,45.36,86.53,1,0
36047038900,3045.0,1333.0,44.0,71.0,98.0,98.0,44.0,96.0,0.0,97.0,65.0,93.0,93.0,93.0,76.72,31.35,76.71,94.5,0,1
36047039000,2456.0,738.0,36.0,67.0,98.0,87.0,43.0,62.0,0.0,85.0,90.0,78.0,93.0,0.0,50.46000000000001,57.98,15.8,88.03999999999999,1,0
36047039100,4759.0,2055.0,44.0,71.0,98.0,98.0,43.0,96.0,0.0,97.0,43.0,93.0,93.0,93.0,52.35999999999999,81.0,80.47999999999999,91.23,0,1
36047039200,3351.0,1179.0,36.0,67.0,98.0,88.0,43.0,62.0,0.0,84.0,93.0,78.0,93.0,0.0,83.22,61.67,44.67,70.43,1,0
36047039300,4198.0,1531.0,43.0,71.0,98.0,97.0,43.0,95.0,0.0,96.0,80.0,93.0,93.0,93.0,75.91,20.53,79.88,93.57,0,1
36047039400,1970.0,705.0,36.0,67.0,98.0,90.0,43.0,63.0,0.0,84.0,99.0,79.0,93.0,0.0,79.14,89.94,28.95,70.50999999999999,1,0
36047039500,3676.0,1836.0,42.0,71.0,98.0,97.0,42.0,95.0,0.0,95.0,87.0,92.0,93.0,93.0,87.0,19.040000000000003,77.85,84.48,0,1
36047039600,2028.0,679.0,36.0,67.0,98.0,91.0,43.0,63.0,0.0,86.0,92.0,77.0,93.0,0.0,50.63999999999999,44.31,24.02,54.400000000000006,1,0
36047039700,3010.0,1313.0,41.0,71.0,98.0,96.0,42.0,95.0,0.0,95.0,90.0,91.0,93.0,91.0,76.02,23.880000000000003,81.89,82.12,0,1
36047039800,3042.0,890.0,37.0,67.0,98.0,92.0,43.0,63.0,0.0,87.0,89.0,76.0,93.0,0.0,87.26,59.72,86.42,60.64000000000001,1,0
